Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,9.492188,4.21875
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,9.492188,4.570313
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,9.492188,4.570313
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,9.492188,4.570313
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,313.5938,0
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,313.5938,0
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,Glock,100,0,0,0,0,False,False,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,313.5938,0.703125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,312.5391,1.054688
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.4297,1.757813
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,310.0781,2.109375
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,309.375,2.8125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,306.9141,5.273438
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.03125
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,305.5078,7.382813
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,301.9922,10.89844
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,291.7969,20.03906
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,273.1641,30.58594
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,257.3438,37.96875
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,250.6641,42.1875
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,247.1484,46.75781
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,242.9297,53.08593
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,238.711,60.46875
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,234.8437,65.74219
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,238.0078,66.09375
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,248.9063,63.98437
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,262.9688,57.30469
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,273.8672,47.10937
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,281.25,37.26563
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,287.9297,26.01563
device ;M;,Terrorist,-1612,499,-63.96877,AWP,100,100,0,0,0,False,True,False,290.7422,13.71094
device ;M;,Terrorist,-1612,499,-63.96877,Deagle,100,100,0,0,0,False,True,False,291.4453,6.328125
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,291.4453,1.054688
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
device ;M;,Terrorist,-1612,499,-63.96877,AK47,100,100,0,0,0,False,True,False,291.7969,359.6484
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,291.7969,359.6484
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,291.7969,0.3515625
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,291.0938,1.054688
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,289.3359,1.757813
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,287.2266,3.515625
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.8203,4.570313
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
device ;M;,Terrorist,-1612,499,-63.96877,Knife,100,100,0,0,0,False,True,False,285.4688,4.921875
