Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,AK47,100,92,0,0,0,False,True,True,213.0469,25.66406
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,AK47,100,92,0,0,0,False,True,True,211.9922,26.01563
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,AK47,100,92,0,0,0,False,True,True,260.5078,2.460938
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,AK47,100,92,0,0,0,False,True,True,256.9922,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,AK47,100,92,0,0,0,False,True,True,256.6406,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,258.3984,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,262.2656,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Knife,100,92,0,0,0,False,True,True,264.0234,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,260.5078,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,239.7656,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,200.7422,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,189.8437,2.109375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,189.8437,2.109375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,189.8437,2.109375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,189.8437,2.109375
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,184.2188,2.8125
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,176.8359,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,174.375,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,172.2656,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,154.6875,3.164063
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,141.6797,4.21875
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,Flash,100,92,0,0,0,False,True,True,140.2734,4.21875
