Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,173.6719,27.07031
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.4063,0
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,271.7578,359.6484
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,P2000,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,M4A1,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,M4A1,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,M4A1,100,0,0,0,0,False,False,False,276.6797,356.8359
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,M4A1,100,0,0,0,0,False,False,False,263.3203,357.1875
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,M4A1,100,0,0,0,0,False,False,False,240.8203,359.2969
[R] NillE ;-),CounterTerrorist,2432,2184,124.3104,M4A1,100,0,0,0,0,False,False,False,211.6406,4.21875
