Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96877,Knife,100,0,0,0,0,False,False,False,170.8594,18.98438
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,167.6953,19.6875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,72.07031,0.703125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,52.03125,3.515625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,31.64063,4.921875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,17.92969,4.921875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,16.875,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,16.875,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,16.875,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,16.875,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,16.875,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,16.875,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,14.76563,4.21875
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,7.382813,6.328125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,2.8125,7.03125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,2.8125,7.03125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,2.8125,7.03125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,2.8125,7.03125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,2.8125,7.03125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,359.6484,6.679688
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,352.9688,6.328125
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,349.8047,5.625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,349.4531,5.625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,349.4531,5.625
[R] NillE ;-),Terrorist,-1731.18,226.762,-63.96878,Knife,100,0,0,0,0,False,False,False,349.4531,5.625
