Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,128.3203,11.95313
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,127.9687,11.95313
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,0
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,311.4844,0.3515625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.5078,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.1563,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,1.054688
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,1.40625
[R] NillE ;-),Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.8047,1.40625
