Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,1788.041,1373.712,160.0313,USP,100,0,-101.5103,-217.4756,0,False,False,False,253.8281,7.03125
[R] NillE ;-),CounterTerrorist,1783.608,1361.64,160.0313,USP,100,0,-58.2074,-223.5009,0,False,False,False,253.125,7.03125
[R] NillE ;-),CounterTerrorist,1781.759,1345.63,160.0313,USP,100,0,-3.939278,-230.8917,0,False,False,False,251.3672,7.03125
[R] NillE ;-),CounterTerrorist,1782.288,1331.509,160.0313,USP,100,0,-3.446058,-201.9299,0,False,False,False,248.9063,7.03125
[R] NillE ;-),CounterTerrorist,1779.59,1321.845,160.0313,USP,100,0,-70.94279,-121.1343,0,False,False,False,247.5,7.03125
[R] NillE ;-),CounterTerrorist,1776.106,1316.441,160.0313,USP,100,0,9.622387,-68.26569,0,False,False,False,246.4453,7.03125
[R] NillE ;-),CounterTerrorist,1779.09,1311.759,160.0313,USP,100,0,74.49004,-79.89195,0,False,False,False,245.7422,7.03125
[R] NillE ;-),CounterTerrorist,1785.482,1306.399,160.0313,USP,100,0,121.5755,-90.314,0,False,False,False,243.6328,7.03125
[R] NillE ;-),CounterTerrorist,1792.701,1299.04,160.0313,USP,100,0,110.2242,-137.3026,0,False,False,False,238.711,7.03125
[R] NillE ;-),CounterTerrorist,1799.02,1289.125,160.0313,USP,100,0,93.09621,-173.8711,0,False,False,False,230.9766,6.679688
[R] NillE ;-),CounterTerrorist,1804.026,1277.235,160.0313,USP,100,0,69.06156,-201.7505,0,False,False,False,221.4844,4.921875
[R] NillE ;-),CounterTerrorist,1807.381,1263.885,160.0313,USP,100,0,41.77778,-221.7763,0,False,False,False,215.8594,2.8125
[R] NillE ;-),CounterTerrorist,1808.598,1249.839,160.0313,USP,100,0,-8.14578,-219.0615,0,False,False,False,213.75,2.109375
[R] NillE ;-),CounterTerrorist,1805.918,1236.758,160.0313,USP,100,0,-67.2906,-202.3949,0,False,False,False,213.75,2.109375
[R] NillE ;-),CounterTerrorist,1800.105,1224.571,157.5813,USP,100,0,-111.1122,-189.7308,0,False,False,False,213.3984,1.757813
[R] NillE ;-),CounterTerrorist,1791.968,1213.067,156.0456,USP,100,0,-143.6214,-180.0495,0,False,False,False,213.0469,1.757813
[R] NillE ;-),CounterTerrorist,1782.112,1202.085,154.6125,USP,100,0,-167.16,-172.2136,0,False,False,False,213.0469,1.757813
[R] NillE ;-),CounterTerrorist,1771.248,1191.746,153.2879,USP,100,0,-178.3195,-160.6305,0,False,False,False,213.0469,1.757813
[R] NillE ;-),CounterTerrorist,1759.828,1182.022,152.041,USP,100,0,-185.6965,-152.0421,0,False,False,False,213.0469,1.757813
[R] NillE ;-),CounterTerrorist,1747.98,1172.855,150.8839,USP,100,0,-195.8224,-135.4099,0,False,False,False,213.0469,1.757813
[R] NillE ;-),CounterTerrorist,1734.983,1166.251,150.2565,USP,100,0,-216.5173,-85.03615,0,False,False,False,214.1016,1.40625
[R] NillE ;-),CounterTerrorist,1720.879,1162.239,150.158,USP,100,0,-232.1483,-50.00605,0,False,False,False,216.211,1.054688
[R] NillE ;-),CounterTerrorist,1706.074,1159.971,150.1212,USP,100,0,-238.4577,-27.16503,0,False,False,False,219.375,1.054688
[R] NillE ;-),CounterTerrorist,1691.124,1158.773,150.2426,USP,100,0,-239.5848,-14.1107,0,False,False,False,221.8359,1.054688
[R] NillE ;-),CounterTerrorist,1676.151,1158.185,150.4214,USP,100,0,-238.1859,-0.827912,0,False,False,False,224.2969,1.054688
[R] NillE ;-),CounterTerrorist,1661.641,1160.044,150.8224,USP,100,0,-228.3385,50.78614,0,False,False,False,227.1094,1.054688
[R] NillE ;-),CounterTerrorist,1647.619,1164.475,151.4569,USP,100,0,-215.6727,79.19579,0,False,False,False,230.2734,0.703125
[R] NillE ;-),CounterTerrorist,1636.822,1168.152,151.9721,USP,100,0,-131.1001,31.0793,0,False,False,False,232.7344,1.054688
[R] NillE ;-),CounterTerrorist,1630.284,1167.113,151.9751,USP,100,0,-85.79491,-50.08147,0,False,False,False,233.789,1.054688
[R] NillE ;-),CounterTerrorist,1626.18,1161.793,151.5404,USP,100,0,-51.39104,-109.7013,0,False,False,False,234.4922,1.40625
[R] NillE ;-),CounterTerrorist,1622.736,1153.588,150.825,USP,100,0,-67.22454,-144.4653,0,False,False,False,236.6016,1.40625
[R] NillE ;-),CounterTerrorist,1617.748,1143.66,149.9722,USP,100,0,-88.19183,-169.2113,0,False,False,False,239.4141,1.40625
[R] NillE ;-),CounterTerrorist,1611.742,1132.372,149.0078,USP,100,0,-101.3562,-188.7895,0,False,False,False,241.1719,1.40625
[R] NillE ;-),CounterTerrorist,1605.096,1120.018,147.9535,USP,100,0,-109.6935,-203.9644,0,False,False,False,241.875,1.40625
[R] NillE ;-),CounterTerrorist,1598.071,1106.908,148.1448,USP,100,0,-113.0078,-211.7292,0,False,False,False,242.5781,1.40625
[R] NillE ;-),CounterTerrorist,1590.782,1093.865,149.3178,USP,100,0,-128.7758,-198.9074,0,False,False,False,243.9844,1.757813
[R] NillE ;-),CounterTerrorist,1581.421,1082.466,150.4271,USP,100,0,-164.4557,-170.924,0,False,False,False,244.6875,1.757813
[R] NillE ;-),CounterTerrorist,1570.225,1072.615,151.4732,USP,100,0,-188.5393,-141.5657,0,False,False,False,245.0391,1.757813
[R] NillE ;-),CounterTerrorist,1557.804,1066.267,152.7193,USP,100,0,-205.9347,-73.55579,0,False,False,False,245.3906,2.109375
[R] NillE ;-),CounterTerrorist,1544.457,1063.497,153.2937,USP,100,0,-218.9085,-23.81643,0,False,False,False,245.7422,2.109375
[R] NillE ;-),CounterTerrorist,1530.42,1063.345,153.3163,USP,100,0,-228.6327,12.4433,0,False,False,False,246.4453,2.109375
[R] NillE ;-),CounterTerrorist,1518.89,1063.771,153.2115,USP,100,0,-130.9959,-6.807277,0,False,False,False,246.7969,2.109375
[R] NillE ;-),CounterTerrorist,1514.481,1062.359,153.2558,USP,100,0,-27.14659,-33.02458,0,False,False,False,246.7969,2.109375
[R] NillE ;-),CounterTerrorist,1515.573,1059.842,153.6703,USP,100,0,47.13414,-46.26011,0,False,False,False,246.7969,2.109375
[R] NillE ;-),CounterTerrorist,1520.022,1056.57,154.322,USP,100,0,64.77496,-46.79148,0,False,False,False,246.7969,2.109375
[R] NillE ;-),CounterTerrorist,1520.868,1055.35,154.4898,USP,100,0,-19.97844,1.6114,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1517.669,1056.428,154.2557,USP,100,0,-75.65239,28.52531,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1512.992,1058.226,153.8134,USP,100,0,-41.50097,14.96649,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1513.463,1057.95,153.872,USP,100,0,36.36132,-15.91529,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1517.043,1056.399,154.2365,USP,100,0,44.55738,-19.32233,0,False,False,False,246.7969,2.460938
[R] NillE ;-),CounterTerrorist,1516.793,1056.5,154.2121,USP,100,0,-32.57547,13.94269,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1512.775,1058.216,153.8067,USP,100,0,-88.45171,37.73053,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1505.61,1061.268,153.085,USP,100,0,-133.0493,56.6143,0,False,False,False,247.1484,2.8125
[R] NillE ;-),CounterTerrorist,1497.039,1064.913,152.2225,USP,100,0,-110.391,46.95772,0,False,False,False,247.1484,2.8125
[R] NillE ;-),CounterTerrorist,1493.766,1066.307,151.8929,USP,100,0,-9.202847,3.937867,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1495.501,1065.563,152.0684,USP,100,0,52.48824,-22.51916,0,False,False,False,246.7969,2.8125
[R] NillE ;-),CounterTerrorist,1500.701,1063.311,152.5977,USP,100,0,105.3168,-46.02633,0,False,False,False,245.7422,2.8125
