Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,304.1016,358.9453
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,302.6953,358.9453
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,206.3672,0.3515625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,206.3672,0.3515625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,206.3672,0.3515625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,206.3672,0.3515625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,206.3672,0.3515625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,205.3125,0.3515625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,200.0391,1.054688
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,187.0313,1.054688
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,174.0234,1.40625
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,172.9688,0.703125
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,172.9688,0.703125
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,172.9688,0.703125
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,172.9688,0.703125
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,170.8594,0.703125
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,160.6641,1.054688
[R] NillE ;-),CounterTerrorist,2480,2112,126.7755,P2000,100,0,0,0,0,False,False,False,151.5234,1.40625
