Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,264.0234,5.273438
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,263.6719,4.21875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,298.4766,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,298.4766,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P2000,100,95,0,0,0,False,False,False,298.4766,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P2000,100,95,0,0,0,False,False,False,298.4766,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P2000,100,95,0,0,0,False,False,False,298.4766,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,297.4219,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,279.1406,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,235.5469,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,190.8984,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,162.0703,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,161.0156,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,161.0156,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,161.0156,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,161.0156,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,161.7188,357.8906
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,161.7188,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,158.9063,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,150.8203,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,142.3828,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,142.3828,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,142.7344,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,143.0859,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,143.0859,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,143.7891,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.1406,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Decoy,100,95,0,0,0,False,False,False,144.4922,357.5391
