Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,0,0,0,0,False,False,False,219.0234,21.44531
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,219.0234,21.79688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,298.8281,0
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,298.8281,0
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,298.8281,0
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,298.8281,0
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,298.4766,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,286.5234,359.6484
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,250.6641,0.3515625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,216.9141,2.460938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,216.211,2.460938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,216.211,2.460938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,215.8594,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,174.375,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,145.1953,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,144.4922,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,144.4922,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,144.4922,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,144.1406,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,141.6797,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,141.6797,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,142.0313,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,142.0313,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,142.0313,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,141.6797,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,141.6797,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,141.6797,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,141.6797,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,140.9766,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,139.9219,2.109375
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.8672,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.8672,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.8672,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.5156,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.5156,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,138.1641,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,0,0,0,0,False,False,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.8125,1.757813
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.4609,1.40625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.4609,1.40625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.40625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,P90,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Flash,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,1.054688
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,137.1094,0.3515625
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,140.625,358.9453
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,156.4453,359.2969
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,163.125,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,163.125,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,163.125,358.5938
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,168.75,356.8359
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,210.9375,356.8359
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,270,356.8359
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,308.6719,357.1875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,308.6719,357.1875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,308.6719,357.1875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,308.6719,357.1875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,316.4063,357.1875
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,324.8438,359.2969
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,330.8203,0.703125
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,331.875,0.703125
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,331.1719,0.703125
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,299.8828,0.703125
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,230.625,0.703125
[R] NillE ;-),CounterTerrorist,2361,2200,126.8168,Knife,100,100,0,0,0,False,True,False,186.3281,1.054688
[R] NillE ;-),CounterTerrorist,2359.894,2200.96,126.8168,Knife,100,100,-38.94659,33.79134,0,False,True,False,183.8672,0.703125
[R] NillE ;-),CounterTerrorist,2355.771,2204.536,126.9809,Knife,100,100,-85.70302,74.35876,0,False,True,False,183.8672,0.703125
[R] NillE ;-),CounterTerrorist,2349.113,2210.314,127.3844,Knife,100,100,-121.1628,105.1248,0,False,True,False,183.8672,0.703125
[R] NillE ;-),CounterTerrorist,2340.581,2217.716,127.9013,Knife,100,100,-147.2809,127.7858,0,False,True,False,183.8672,0.703125
[R] NillE ;-),CounterTerrorist,2331.983,2225.201,128.4212,Knife,100,100,-163.5566,143.6154,0,False,True,False,180.7031,0.3515625
[R] NillE ;-),CounterTerrorist,2318.98,2233.941,129.3115,Knife,100,100,-199.5169,114.793,0,False,True,False,163.8281,0.703125
[R] NillE ;-),CounterTerrorist,2305.788,2240.963,129.9757,Knife,100,100,-218.8496,111.5928,0,False,True,False,158.5547,1.757813
[R] NillE ;-),CounterTerrorist,2291.778,2247.813,130.1172,Knife,100,100,-225.7866,107.3332,0,False,True,False,158.5547,1.757813
[R] NillE ;-),CounterTerrorist,2277.593,2254.365,130.2906,Knife,100,100,-227.7605,103.0785,0,False,True,False,158.5547,1.757813
[R] NillE ;-),CounterTerrorist,2263.308,2260.695,130.4633,Knife,100,100,-229.1209,100.018,0,False,True,False,158.5547,1.757813
[R] NillE ;-),CounterTerrorist,2248.952,2266.864,130.6371,Knife,100,100,-230.0809,97.78956,0,False,True,False,158.5547,1.757813
[R] NillE ;-),CounterTerrorist,2234.547,2272.916,130.8223,Knife,100,100,-230.765,96.16396,0,False,True,False,158.5547,1.757813
