Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,132.1065,USP,100,0,0,0,-18.75,False,False,False,339.2578,19.33594
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,129.4135,USP,100,0,0,0,0,False,False,False,339.2578,19.33594
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,129.4135,USP,100,0,0,0,0,False,False,False,226.0547,0
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,142.5441,USP,100,0,0,0,261.3684,False,False,False,226.0547,0
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,157.3172,USP,100,0,0,0,211.3684,False,False,False,226.4063,0
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,168.9653,USP,100,0,0,0,161.3684,False,False,False,225,359.6484
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,177.4883,USP,100,0,0,0,111.3684,False,False,False,223.9453,359.2969
SK.xelos4s ;E,CounterTerrorist,2523.88,1917.25,182.8864,USP,100,0,0,0,61.36838,False,False,False,223.9453,359.2969
SK.xelos4s ;E,CounterTerrorist,2523.379,1916.766,185.1595,USP,100,0,-18.48052,-17.82474,11.36838,False,False,False,223.5938,359.2969
SK.xelos4s ;E,CounterTerrorist,2522.026,1915.465,184.3076,USP,100,0,-21.71376,-20.87154,-38.63162,False,False,False,218.6719,0
SK.xelos4s ;E,CounterTerrorist,2520.65,1914.148,180.3306,USP,100,0,-22.36925,-21.29756,-88.63162,False,False,False,209.8828,359.6484
SK.xelos4s ;E,CounterTerrorist,2519.205,1912.794,173.2287,USP,100,0,-23.69842,-21.90529,-138.6316,False,False,False,201.0938,359.2969
SK.xelos4s ;E,CounterTerrorist,2517.702,1911.417,163.0018,USP,100,0,-24.13383,-22.06198,-188.6316,False,False,False,198.9844,358.5938
SK.xelos4s ;E,CounterTerrorist,2516.181,1910.034,149.6498,USP,100,0,-24.53446,-22.19185,-238.6316,False,False,False,197.2266,356.8359
SK.xelos4s ;E,CounterTerrorist,2514.639,1908.645,133.1729,USP,100,0,-24.69438,-22.23996,-288.6316,False,False,False,198.2813,356.1328
SK.xelos4s ;E,CounterTerrorist,2511.512,1906.656,128.9919,USP,100,0,-73.64097,-44.33595,0,False,False,False,214.4531,356.4844
SK.xelos4s ;E,CounterTerrorist,2505.652,1902.469,128.7921,USP,100,0,-105.2294,-85.54506,0,False,False,False,232.7344,357.1875
