Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,92.46094,11.95313
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,91.75781,11.25
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,91.75781,11.25
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,91.75781,11.25
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,292.1484,0
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,292.1484,0
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,292.1484,0
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,292.1484,0
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,292.1484,0
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,292.1484,0.3515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,291.7969,0.3515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,291.4453,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,289.3359,1.40625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,286.1719,2.109375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,282.6563,2.460938
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,281.6016,3.164063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,3.164063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,3.164063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,280.8984,3.164063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,280.8984,3.164063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,281.25,3.515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,282.3047,3.867188
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,283.0078,4.21875
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,283.3594,4.21875
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,282.6563,4.21875
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,273.5156,3.867188
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,256.2891,3.164063
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,230.2734,1.054688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,213.75,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,210.5859,359.6484
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,213.0469,0.3515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,214.8047,0.703125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Bomb,100,85,0,0,0,False,True,False,214.8047,1.40625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,214.8047,1.757813
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,215.8594,2.109375
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,218.6719,3.515625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,224.2969,6.328125
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,232.7344,10.89844
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,240.8203,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,243.9844,14.0625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,245.7422,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,False,True,False,247.8516,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,253.4766,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,260.1563,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,267.5391,13.00781
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,False,True,False,268.9453,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,268.9453,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,268.9453,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,268.9453,12.30469
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,270.3516,10.89844
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,272.8125,10.19531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,276.3281,10.19531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,277.7344,10.19531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,279.8438,10.19531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Knife,100,85,0,0,0,True,True,False,281.25,10.19531
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,True,True,False,281.6016,10.54688
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,True,True,False,281.25,10.89844
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Deagle,100,85,0,0,0,True,True,False,281.25,11.60156
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,12.65625
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,13.71094
SK.xelos4s ;E,Terrorist,-1547,464,-63.96875,Famas,100,85,0,0,0,False,True,False,280.8984,13.71094
