Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.5662,Flash,100,98,0,0,0,False,True,True,108.6328,9.492188
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,112.5,12.30469
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,116.0156,14.0625
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,121.2891,16.52344
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,125.1563,18.28125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,277.0313,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,282.6563,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,288.9844,3.164063
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,292.5,2.8125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,292.8516,2.8125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,289.6875,2.460938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,286.875,2.460938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,Flash,100,98,0,0,0,False,True,True,287.5781,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,287.5781,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,287.5781,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,287.5781,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,287.5781,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,287.5781,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,287.2266,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,286.5234,1.757813
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,286.1719,2.109375
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,False,True,True,284.7656,2.8125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,True,True,True,277.7344,4.21875
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,USP,100,98,0,0,0,True,True,True,270.3516,4.921875
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,True,True,True,268.2422,4.921875
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,True,True,True,270,4.921875
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,274.9219,5.273438
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,281.25,6.679688
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,286.5234,8.085938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,290.0391,8.085938
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,290.3906,7.03125
SK.xelos4s ;E,CounterTerrorist,2432,2184,124.3104,M4A1,100,98,0,0,0,False,True,True,291.0938,6.679688
