Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,24.60938,10.89844
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,25.66406,10.89844
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,25.3125,10.54688
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,24.60938,10.19531
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,221.8359,0
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,221.4844,0
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,221.4844,0
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,221.1328,0
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,221.1328,0
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Glock,100,100,0,0,0,False,True,False,221.1328,0.3515625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Glock,100,100,0,0,0,False,True,False,221.1328,1.054688
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Glock,100,100,0,0,0,False,True,False,221.8359,1.054688
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,221.8359,1.054688
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,221.8359,1.054688
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,222.1875,1.054688
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,221.4844,0.703125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,False,True,False,212.3437,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,200.0391,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,191.6016,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,190.8984,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,192.3047,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,192.3047,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,192.6563,1.40625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,195.8203,2.109375
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,False,True,False,196.875,2.8125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,True,True,False,196.5234,2.8125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,True,True,False,196.1719,2.8125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,True,True,False,196.5234,2.8125
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,Knife,100,100,0,0,0,True,True,False,197.9297,3.515625
SK.xelos4s ;E,Terrorist,-1507,506,-63.96875,AK47,100,100,0,0,0,True,True,False,202.5,5.625
