Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,184.9219,15.82031
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,169.8047,14.76563
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,165.5859,14.76563
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,164.5313,14.76563
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,117.0703,0
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,117.0703,0
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.7187,0
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.7187,0
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.7187,0
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
SK.xelos4s ;E,CounterTerrorist,2361,2008,126.0593,M4A1,100,90,0,0,0,False,False,True,116.3672,0.3515625
