Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,1.40625,9.492188
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,0.3515625,9.140625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,359.6484,9.140625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,207.4219,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,207.4219,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,0,0,0,0,False,False,False,207.4219,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,207.4219,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,207.4219,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,189.8437,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,189.8437,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,189.8437,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,190.5469,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,190.5469,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,189.4922,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,0,0,0,0,False,False,False,187.0313,0
