Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,CounterTerrorist,2480,2112,127.0546,AK47,100,100,0,0,0,False,True,True,148.7109,15.82031
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,150.4688,15.46875
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,151.875,14.76563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,149.0625,14.0625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,148.0078,13.71094
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,207.4219,0
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,207.0703,359.6484
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,206.0156,359.2969
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,204.6094,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,204.9609,358.9453
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,207.0703,359.2969
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,208.8281,359.2969
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,210.5859,359.6484
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,211.6406,359.6484
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,213.3984,0.703125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,215.5078,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,215.5078,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,215.5078,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,215.8594,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,215.5078,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,211.6406,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,195.8203,2.460938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,170.5078,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,148.0078,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,138.8672,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,139.9219,3.515625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,143.4375,4.570313
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,143.0859,3.867188
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,True,True,True,142.3828,3.515625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,True,True,True,142.3828,3.515625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,True,True,True,142.3828,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,142.0313,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,142.0313,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,142.0313,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,142.0313,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,142.0313,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,146.9531,3.515625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,169.8047,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,209.1797,8.085938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,239.7656,7.734375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,254.1797,3.867188
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,256.9922,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,256.6406,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,253.125,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,248.2031,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,247.5,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,247.5,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,247.5,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,247.5,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,247.5,1.054688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,245.3906,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,225.3516,1.40625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,184.9219,359.6484
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,143.4375,355.0781
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,119.5313,351.5625
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,114.2578,350.8594
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,116.3672,351.9141
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,119.5313,352.6172
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,124.1016,353.6719
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,126.2109,354.375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,127.6172,355.4297
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,129.0234,357.5391
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,AK47,100,100,0,0,0,False,True,True,129.375,358.5938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,130.0781,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,130.0781,8.4375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,129.7266,11.95313
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,True,True,True,129.375,11.60156
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,True,True,True,129.0234,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,M4A1,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Flash,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Smoke,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,USP,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,M4A1,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,M4A1,100,100,0,0,0,False,True,True,128.6719,10.89844
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,128.6719,10.54688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,126.9141,7.03125
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,123.75,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,124.4531,6.679688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,124.4531,6.679688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,124.4531,6.679688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.4531,6.679688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.4531,6.679688
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.8047,5.976563
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,125.8594,3.164063
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,125.8594,2.460938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,125.8594,2.460938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.5078,2.460938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,2.460938
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.5078,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.5078,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.5078,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.8047,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.8047,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.8047,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.8047,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,124.8047,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,True,True,True,124.8047,2.109375
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,True,True,True,124.8047,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,True,True,True,124.8047,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,True,True,True,124.8047,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,125.1563,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,HE,100,100,0,0,0,False,True,True,125.1563,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.757813
SK.xelos4s ;E,CounterTerrorist,2480,2112,126.7755,Knife,100,100,0,0,0,False,True,True,125.1563,1.757813
