Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1708,410,-60.08044,Glock,100,0,0,0,-43.75,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1708,410,-63.96875,Glock,100,0,0,0,0,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1708,410,-59.39659,Glock,100,0,0,0,286.3684,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1708,410,-43.06108,Glock,100,0,0,0,236.3684,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1708,410,-29.85057,Glock,100,0,0,0,186.3684,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1707.906,410.06,-19.76504,Glock,100,0,12.06319,7.685098,136.3684,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1706.498,410.9572,-12.80452,Glock,100,0,25.30174,16.11899,86.36838,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1704.917,411.9645,-8.96899,Glock,100,0,25.30174,16.11899,36.36838,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1703.335,412.9719,-8.258465,Knife,100,0,25.30174,16.11899,-13.63162,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1701.754,413.9792,-10.67294,Knife,100,0,25.30174,16.11899,-63.63162,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1700.173,414.9865,-16.21241,Knife,100,0,25.30174,16.11899,-113.6316,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1698.592,415.9938,-24.87689,Glock,100,0,25.30174,16.11899,-163.6316,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1697.011,417.0012,-36.66637,Glock,100,0,25.30174,16.11899,-213.6316,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1695.43,418.0085,-51.58086,Glock,100,0,25.30174,16.11899,-263.6316,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1693.545,419.2095,-63.96875,Glock,100,0,44.75246,28.51046,0,False,False,False,32.34375,0
SK.xelos4s ;E,Terrorist,-1688.931,422.0687,-63.96875,Glock,100,0,95.89045,56.88475,0,False,False,False,25.66406,359.2969
SK.xelos4s ;E,Terrorist,-1681.269,425.7733,-63.96875,Glock,100,0,142.409,54.96165,0,False,False,False,357.1875,358.5938
SK.xelos4s ;E,Terrorist,-1671.18,427.9018,-63.96875,Glock,100,0,172.332,13.09633,0,False,False,False,324.1406,1.054688
SK.xelos4s ;E,Terrorist,-1660.131,426.7163,-63.96875,Glock,100,0,178.1866,-43.21314,0,False,False,False,310.7813,5.976563
SK.xelos4s ;E,Terrorist,-1650.112,421.9969,-63.96875,Glock,100,0,138.101,-101.4239,0,False,False,False,311.1328,6.679688
SK.xelos4s ;E,Terrorist,-1643.001,413.9367,-63.96875,Glock,100,0,96.69067,-148.2971,0,False,False,False,311.1328,6.679688
SK.xelos4s ;E,Terrorist,-1638.078,403.4003,-63.96875,Glock,100,0,66.18968,-182.8218,0,False,False,False,311.1328,6.679688
SK.xelos4s ;E,Terrorist,-1633.592,391.4352,-63.96875,Glock,100,0,85.3497,-194.2497,0,False,False,False,311.1328,6.679688
SK.xelos4s ;E,Terrorist,-1627.305,379.1302,-63.96875,Glock,100,0,111.1422,-198.8457,0,False,False,False,310.0781,5.273438
SK.xelos4s ;E,Terrorist,-1619.749,366.5146,-63.96875,Glock,100,0,126.8859,-203.7154,0,False,False,False,306.9141,1.757813
SK.xelos4s ;E,Terrorist,-1611.642,353.8947,-63.96875,Glock,100,0,131.6369,-200.6781,0,False,False,False,306.5625,0.703125
SK.xelos4s ;E,Terrorist,-1603.301,341.4276,-63.96875,Glock,100,0,134.6334,-198.6803,0,False,False,False,306.2109,0.703125
SK.xelos4s ;E,Terrorist,-1594.593,328.7605,-63.96875,Knife,100,0,142.5456,-205.3795,0,False,False,False,306.2109,0.703125
SK.xelos4s ;E,Terrorist,-1585.609,315.9772,-63.96875,Knife,100,0,144.9822,-203.6668,0,False,False,False,308.3203,1.757813
SK.xelos4s ;E,Terrorist,-1576.43,303.3326,-63.96875,Knife,100,0,148.1607,-201.3663,0,False,False,False,308.6719,1.757813
SK.xelos4s ;E,Terrorist,-1567.086,290.8091,-63.96875,Knife,100,0,150.4276,-199.6785,0,False,False,False,308.6719,1.757813
SK.xelos4s ;E,Terrorist,-1557.624,278.3749,-63.96875,Knife,100,0,152.0655,-198.4341,0,False,False,False,308.6719,1.757813
SK.xelos4s ;E,Terrorist,-1548.08,266.0034,-63.96875,Knife,100,0,152.9446,-197.7573,0,False,False,False,307.6172,1.40625
SK.xelos4s ;E,Terrorist,-1538.52,253.6444,-63.96875,Knife,100,0,153.3362,-197.4538,0,False,False,False,309.375,1.40625
