Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,245.3906,5.273438
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,238.0078,5.273438
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,234.4922,5.625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,234.4922,5.625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,152.5781,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,152.5781,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,152.5781,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,151.875,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,151.875,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,151.875,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Glock,100,0,0,0,0,False,False,False,150.4688,359.6484
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,142.0313,0.3515625
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,120.5859,358.5938
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,99.84375,357.1875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,86.48438,357.1875
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,87.53906,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,True,False,False,87.53906,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,True,False,False,87.53906,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,True,False,False,87.53906,0
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,90,359.2969
SK.xelos4s ;E,Terrorist,-1662.16,192.397,-63.96875,Bomb,100,0,0,0,0,False,False,False,95.27343,358.9453
