Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,P2000,100,0,0,0,0,False,False,False,144.8438,0
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,P2000,100,0,0,0,0,False,False,False,144.8438,0
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,P2000,100,0,0,0,0,False,False,False,145.1953,0
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,P2000,100,0,0,0,0,False,False,False,145.1953,0
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,P2000,100,0,0,0,0,False,False,False,145.1953,0
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,146.25,0
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,147.6563,0.3515625
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,145.5469,0.703125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,144.1406,0.703125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,151.1719,1.40625
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,162.7734,2.460938
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,159.9609,2.8125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,159.9609,2.8125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,159.9609,2.8125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,159.9609,2.8125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,167.6953,3.164063
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,191.6016,4.570313
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,226.0547,4.570313
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,242.9297,3.164063
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,241.875,1.757813
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,230.2734,0.703125
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,217.2656,358.9453
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,213.0469,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,214.1016,357.5391
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,215.1563,357.1875
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,215.8594,357.1875
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,216.5625,357.5391
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,216.9141,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,216.9141,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,216.9141,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,216.9141,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,216.9141,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,217.9688,357.8906
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,221.8359,357.5391
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.1328
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,229.9219,356.1328
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,229.2188,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.5156,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
PnX | CSGOmall.com,CounterTerrorist,2440,2032,123.4813,Knife,100,0,0,0,0,False,False,False,228.1641,356.4844
