Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,122.3438,5.273438
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,122.3438,5.273438
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,AK47,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,Knife,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,221.8359,0
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,219.7266,357.8906
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,217.2656,356.8359
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,216.9141,357.1875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,216.5625,359.6484
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,217.9688,1.054688
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,220.4297,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,220.0781,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,220.0781,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,220.0781,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,220.0781,3.164063
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,228.8672,4.570313
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,251.7188,6.328125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,271.4063,7.03125
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,276.3281,5.625
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,276.6797,5.273438
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,276.6797,4.921875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,276.3281,4.921875
PnX | CSGOmall.com,Terrorist,-1507,506,-63.96875,HE,100,80,0,0,0,False,True,False,275.9766,4.570313
