Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,1.40625,6.328125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,1.40625,6.328125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,HE,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.5938,0
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,313.2422,359.6484
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,305.8594,1.054688
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,299.8828,4.21875
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,296.0156,7.382813
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,297.4219,8.085938
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,301.2891,6.328125
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.1016,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.1016,3.515625
PnX | CSGOmall.com,Terrorist,-1607,506,-63.96875,Knife,100,100,0,0,0,False,True,False,304.1016,3.515625
