Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,46.40625,354.375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,54.84375,354.375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,123.75,359.2969
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,132.1875,357.1875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,135.3516,356.1328
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,135.7031,355.7813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,135.7031,355.7813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,135.3516,355.7813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,136.7578,356.4844
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,148.0078,358.5938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,164.8828,2.109375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,166.6406,3.164063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,166.6406,3.164063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,166.6406,3.164063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,166.6406,3.164063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A4,100,95,0,0,0,False,True,False,166.2891,3.515625
