Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,2360.684,2255.452,124.596,Knife,100,98,81.98665,-236.1741,0,False,True,False,279.8438,8.789063
PnX | CSGOmall.com,Terrorist,2365.363,2240.545,124.988,Knife,100,98,69.67645,-240.0941,0,False,True,False,278.7891,8.789063
PnX | CSGOmall.com,Terrorist,2369.344,2225.437,125.4191,Knife,100,98,59.21151,-242.8868,0,False,True,False,277.0313,9.140625
PnX | CSGOmall.com,Terrorist,2372.687,2210.175,125.885,Knife,100,98,49.00185,-245.1506,0,False,True,False,274.5703,9.140625
PnX | CSGOmall.com,Terrorist,2376.825,2195.166,126.3243,Knife,100,98,85.09406,-234.6645,0,False,True,False,272.1094,9.84375
PnX | CSGOmall.com,Terrorist,2383.267,2180.941,126.6849,Knife,100,98,114.5672,-222.2034,0,False,True,False,268.2422,10.19531
PnX | CSGOmall.com,Terrorist,2390.482,2167.103,126.9936,Knife,100,98,102.4839,-227.6085,0,False,True,False,264.0234,10.54688
PnX | CSGOmall.com,Terrorist,2395.515,2152.335,126.6959,Knife,100,98,63.7559,-241.7337,0,False,True,False,259.8047,10.54688
PnX | CSGOmall.com,Terrorist,2400.324,2137.473,126.265,Knife,100,98,85.11189,-235.0659,0,False,True,False,255.2344,10.54688
PnX | CSGOmall.com,Terrorist,2406.021,2122.924,125.3487,Knife,100,98,94.23943,-231.5576,0,False,True,False,250.6641,10.54688
PnX | CSGOmall.com,Terrorist,2411.938,2108.463,124.8122,Knife,100,98,93.74385,-231.7587,0,False,True,False,243.6328,9.84375
PnX | CSGOmall.com,Terrorist,2417.506,2093.865,124.4946,Knife,100,98,84.07473,-235.4388,0,False,True,False,235.5469,9.492188
PnX | CSGOmall.com,Terrorist,2421.647,2080.838,124.2407,Knife,100,98,68.59267,-240.406,0,False,True,False,227.1094,9.140625
PnX | CSGOmall.com,Terrorist,2425.43,2063.681,123.8668,Knife,100,98,40.76378,-246.6542,0,False,True,False,216.211,8.4375
PnX | CSGOmall.com,Terrorist,2426.905,2048.137,123.2789,Knife,100,98,9.307511,-249.8267,0,False,True,False,204.9609,8.085938
PnX | CSGOmall.com,Terrorist,2426.204,2032.542,122.6837,Knife,100,98,-27.90163,-248.4381,0,False,True,False,193.0078,7.734375
PnX | CSGOmall.com,Terrorist,2423.044,2017.259,122.5682,Knife,100,98,-68.46361,-240.4428,0,False,True,False,181.0547,7.734375
PnX | CSGOmall.com,Terrorist,2417.878,2002.516,122.9502,Knife,100,98,-81.29088,-236.4144,0,False,True,False,169.1016,7.382813
