Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,337.1484,0
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,27.42188,356.8359
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,336.0938,0.3515625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,332.5781,0.703125
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,328.0078,1.40625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,327.6563,1.40625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,329.7656,1.054688
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,330.1172,1.054688
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,329.0625,1.054688
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,325.8984,1.40625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,Bomb,100,98,0,0,0,False,True,False,324.8438,1.40625
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,324.8438,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,324.1406,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,324.1406,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,324.1406,1.757813
PnX | CSGOmall.com,Terrorist,-1655.52,378.79,-63.96875,M4A1,100,98,0,0,0,False,True,False,324.1406,1.757813
