Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Glock,100,0,0,0,0,False,False,False,338.2031,6.328125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Glock,100,0,0,0,0,False,False,False,334.6875,5.273438
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,28.125,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,25.3125,359.6484
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,24.25781,0
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,24.60938,0.3515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,25.3125,0.703125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,26.36719,1.054688
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,26.71875,1.40625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,21.79688,1.757813
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,8.4375,2.8125
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,343.8281,4.570313
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,328.7109,5.976563
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,328.3594,5.976563
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,328.3594,5.976563
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,328.3594,5.976563
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,328.3594,5.976563
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,326.9531,5.625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,316.0547,3.164063
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,306.9141,1.054688
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,305.8594,0.3515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,322.3828,2.460938
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,356.4844,5.273438
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,31.28906,4.921875
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,47.8125,3.515625
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,35.85938,3.867188
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,353.6719,6.679688
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,312.5391,8.4375
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,276.3281,10.19531
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,251.0156,13.35938
PnX | CSGOmall.com,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,242.5781,15.46875
