Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,620.7522,-50.10278,121.5823,Knife,100,100,241.3557,65.17234,123.8684,False,True,False,82.61719,354.7266
PnX | CSGOmall.com,Terrorist,635.8372,-46.02951,127.7615,Knife,100,100,241.3557,65.17234,73.86838,False,True,False,82.61719,354.7266
PnX | CSGOmall.com,Terrorist,650.9221,-41.95624,130.8158,Knife,100,100,241.3557,65.17234,23.86838,False,True,False,82.61719,354.7266
PnX | CSGOmall.com,Terrorist,666.0071,-37.88297,130.7451,Knife,100,100,241.3557,65.17234,-26.13162,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-34.31885,128.1197,Knife,100,100,0,65.17234,-69.88162,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-31.2639,123.9651,Knife,100,100,0,65.17234,-107.3816,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-27.69978,116.8963,Knife,100,100,0,65.17234,-151.1316,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-24.64483,108.9331,Knife,100,100,0,65.17234,-188.6316,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-20.59353,96.03125,Knife,100,100,0,62.35984,0,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-19.26381,96.03125,Knife,100,100,0,53.92234,0,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-15.81972,96.03125,Knife,100,100,0,14.5534,0,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-15.74201,96.03125,Knife,100,100,0,-1.40322,0,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-15.84067,96.03125,Knife,100,100,0,-1.40322,0,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-15.92837,96.03125,Knife,100,100,0,-1.40322,0,False,True,False,82.61719,355.0781
PnX | CSGOmall.com,Terrorist,673.9688,-16.64583,96.03125,Knife,100,100,0,-29.50522,0,False,True,False,82.61719,355.0781
