Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,356.4844,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,356.4844,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.5938,0
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,358.2422,0.3515625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,357.1875,0.3515625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,353.6719,0.703125
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,347.3438,1.054688
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,340.6641,1.40625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,336.4453,1.40625
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
PnX | CSGOmall.com,Terrorist,-1726.23,357.577,-63.96875,Knife,100,49,0,0,0,False,True,False,335.7422,1.757813
