Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,Terrorist,-695.0302,705.7546,-31.96875,AK47,100,0,150.661,77.52967,0,False,False,False,7.03125,354.375
PnX | CSGOmall.com,Terrorist,-684.6622,710.1406,-31.96875,AK47,100,0,176.5759,65.0125,0,False,False,False,7.03125,354.375
PnX | CSGOmall.com,Terrorist,-672.9252,713.8654,-31.96875,AK47,100,0,195.6637,55.79293,0,False,False,False,7.03125,354.375
PnX | CSGOmall.com,Terrorist,-660.1828,717.1024,-31.96875,AK47,100,0,209.3611,48.91766,0,False,False,False,7.03125,354.375
PnX | CSGOmall.com,Terrorist,-648.8906,720.2195,-31.96875,AK47,100,0,201.5645,70.93498,0,False,False,False,5.976563,353.6719
PnX | CSGOmall.com,Terrorist,-636.6934,725.7765,-31.96875,AK47,100,0,190.1922,100.2594,0,False,False,False,0.703125,353.3203
PnX | CSGOmall.com,Terrorist,-623.4639,733.0681,-31.96875,AK47,100,0,193.6371,93.16022,0,False,False,False,356.1328,355.4297
PnX | CSGOmall.com,Terrorist,-610.8916,737.7764,-31.96875,AK47,100,0,205.7264,62.46329,0,False,False,False,355.4297,357.8906
PnX | CSGOmall.com,Terrorist,-599.4628,740.5196,-31.96875,AK47,100,0,210.9035,41.7696,0,False,False,False,355.4297,359.2969
PnX | CSGOmall.com,Terrorist,-586.1755,742.5011,-31.96875,AK47,100,0,213.5607,24.83598,0,False,False,False,356.1328,358.9453
PnX | CSGOmall.com,Terrorist,-571.2766,744.787,-31.96875,AK47,100,0,208.7843,49.87314,0,False,False,False,356.4844,357.8906
PnX | CSGOmall.com,Terrorist,-560.0853,748.3682,-31.96875,AK47,100,0,201.1742,75.85463,0,False,False,False,355.7813,357.1875
PnX | CSGOmall.com,Terrorist,-546.3359,754.6332,-31.96875,AK47,100,0,191.2495,98.22752,0,False,False,False,355.7813,357.8906
PnX | CSGOmall.com,Terrorist,-536.0859,760.3901,-31.96875,AK47,100,0,184.7451,109.9738,0,False,False,False,355.4297,359.2969
PnX | CSGOmall.com,Terrorist,-523.2045,768.2501,-31.96875,AK47,100,0,187.8765,101.7955,0,False,False,False,354.375,0
PnX | CSGOmall.com,Terrorist,-512.4611,772.8423,-31.96875,AK47,100,0,202.3157,71.59014,0,False,False,False,353.3203,359.6484
PnX | CSGOmall.com,Terrorist,-497.8337,776.6042,-31.96875,AK47,100,0,211.2028,40.22888,0,False,False,False,352.2656,357.5391
PnX | CSGOmall.com,Terrorist,-486.2365,778.528,-31.96875,AK47,100,0,210.8274,42.15203,0,False,False,False,351.9141,355.7813
PnX | CSGOmall.com,Terrorist,-471.7299,782.7366,-31.96875,AK47,100,0,202.5487,72.10413,0,False,False,False,351.5625,354.375
PnX | CSGOmall.com,Terrorist,-459.3202,787.8806,-31.96875,AK47,100,0,195.6649,89.10797,0,False,False,False,350.5078,353.3203
PnX | CSGOmall.com,Terrorist,-447.219,793.6931,-31.96875,AK47,100,0,195.7176,86.80856,0,False,False,False,349.4531,352.2656
