Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,100,0,0,0,False,True,True,91.40625,11.95313
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,P2000,100,100,0,0,0,False,True,True,92.10938,11.95313
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,117.4219,359.6484
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,116.7187,359.2969
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,114.6094,358.9453
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,112.5,358.5938
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,110.3906,358.2422
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,109.3359,358.2422
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,109.3359,358.2422
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,109.3359,358.2422
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,108.6328,358.9453
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,103.7109,3.515625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,96.6797,8.789063
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,91.75781,13.00781
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,89.64844,14.41406
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,89.64844,14.0625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,89.64844,12.65625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.94531,9.84375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.24219,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.24219,7.03125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.24219,7.734375
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.59375,9.140625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.59375,9.492188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.59375,9.492188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.59375,9.492188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.59375,10.19531
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,12.30469
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,14.0625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,14.0625
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,14.41406
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,16.17188
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,17.57813
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,88.24219,18.28125
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,18.63281
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.89063,19.33594
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
PnX | CSGOmall.com,CounterTerrorist,2361,2008,126.0593,M4A1,100,100,0,0,0,False,True,True,87.53906,19.6875
