Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,41.13281,30.23438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,40.78125,31.64063
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,335.3906,3.867188
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,334.6875,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.2266,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,331.875,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,331.875,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,331.875,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.2266,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,332.5781,5.273438
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,338.2031,9.140625
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,354.375,16.52344
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,24.25781,23.55469
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Knife,100,100,0,0,0,False,True,False,68.20313,22.85156
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,94.21874,11.60156
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Deagle,100,100,0,0,0,False,True,False,99.49219,8.085938
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,HE,100,100,0,0,0,False,True,False,62.22656,8.789063
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,HE,100,100,0,0,0,False,True,False,12.30469,10.19531
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,HE,100,100,0,0,0,False,True,False,316.0547,8.789063
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Flash,100,100,0,0,0,False,True,False,262.9688,5.625
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Flash,100,100,0,0,0,False,True,False,253.8281,4.921875
ALEX* ;x,Terrorist,-1655.52,378.79,-63.96875,Smoke,100,100,0,0,0,False,True,False,277.3828,11.25
