Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1542,471,-30.61035,Glock,100,0,0,0,-31.25,False,False,False,322.3828,7.734375
ALEX* ;x,Terrorist,-1542,471,-34.12598,Glock,100,0,0,0,-81.25,False,False,False,322.3828,7.734375
ALEX* ;x,Terrorist,-1542,471,-36.25,Glock,100,0,0,0,-100,False,False,False,322.3828,7.734375
ALEX* ;x,Terrorist,-1542,471,-50.53223,Glock,100,0,0,0,-181.25,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.42285,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Glock,100,0,0,0,0,False,False,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Smoke,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,292.1484,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.7969,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.7969,0.703125
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.7969,0.703125
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.7969,0.703125
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.7969,0.703125
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.7969,0.703125
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,AK47,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
ALEX* ;x,Terrorist,-1542,471,-63.96877,Knife,100,100,0,0,0,False,True,False,291.4453,0
