Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,86.83594,14.41406
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,94.92187,16.17188
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,58.00781,1.40625
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,64.6875,2.109375
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.14844,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.5,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.5,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.5,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.5,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.5,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,67.14844,2.460938
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,62.57813,0.703125
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,53.08593,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,40.78125,359.6484
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,Knife,100,100,0,0,0,False,True,False,31.64063,0
ALEX* ;x,Terrorist,-1744.62,289.695,-63.96875,AK47,100,100,0,0,0,False,True,False,31.64063,0
