Name,Team,Position.X,Position.Y,Position.Z,ActiveWeapon,HP,Armour,Velocity.X,Velocity.Y,Velocity.Z,IsDucking,HasHelmet,HasDefuseKit,ViewDirectionX,ViewDirectionY,Map = de_inferno
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,153.2813,3.515625
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,155.7422,3.164063
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,157.8516,2.8125
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.21094,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Bomb,100,0,0,0,0,False,False,False,36.5625,358.9453
ALEX* ;x,Terrorist,-1708,506,-63.96875,Knife,100,0,0,0,0,False,False,False,36.5625,358.9453
