PathName,NumFrames,Average dead reckoned error distance,DeadUpdates,Average led reckoned error distance,LedUpdates
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\334_natus-vincere-team-ldlc_de_inferno.player1.path31.csv,1508,18.7960867113703,677,16.7914005277555,328
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\334_natus-vincere-team-ldlc_de_inferno.player3.path30.csv,4262,15.1206236860539,1564,14.1885835674223,913
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\334_natus-vincere-team-ldlc_de_inferno.player9.path11.csv,3172,20.7424003853462,1572,20.4723841731532,1244
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player1.path34.csv,1735,12.1869829642902,400,12.5387508362469,258
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player3.path20.csv,650,2.86149440357032,39,3.38844809389113,23
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player3.path39.csv,892,14.4606851440491,324,15.1715147647398,197
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player5.path14.csv,1328,12.4060281114545,332,14.8364018033797,262
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player4.path11.csv,1420,9.9103482883381,232,11.6136947846569,272
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player4.path30.csv,1516,11.8175577126164,353,13.7319298109505,327
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player5.path22.csv,771,11.2405175468079,182,12.6858602498278,102
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player6.path4.csv,1238,10.2740663691243,259,11.8602077177517,171
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player7.path14.csv,1288,12.4704664657276,319,14.9412378048851,218
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player0.path30.csv,1390,11.8873128567209,271,13.196401857303,210
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player5.path21.csv,617,10.3388965277545,122,12.7686232688005,89
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player5.path34.csv,1826,13.6744268220528,513,15.3299958323865,350
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player7.path28.csv,1309,11.1187315434715,237,13.3482349420408,166
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player8.path13.csv,1041,12.7094840397723,304,13.4054989235365,199
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player9.path20.csv,708,11.1399455687202,146,12.5485814166306,118
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_fnatic_Wizards.player0.path12.csv,1376,11.6032905510927,275,13.2143997990786,287
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_fnatic_Wizards.player1.path12.csv,1284,12.9350223806504,334,15.0170224294938,246
