PathName,NumFrames,Average dead reckoned error distance,Average led reckoned error distance,DeadUpdates,LedUpdates,diffUpdates,,Dead reckoning updates per frame,Led reckoning updates per frame,,,Average dead reckoning prediction error cm,Average led reckoning prediction error cm,Dead reckoning updates per second,Led reckoning updates per second
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\334_natus-vincere-team-ldlc_de_inferno.player1.path31.csv,1508,18.79608671,16.79140053,677,328,349,0.484490399,0.448938992,0.217506631,,,35.80654519,31.98761801,26.93633952,13.05039788
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\334_natus-vincere-team-ldlc_de_inferno.player3.path30.csv,4262,15.12062369,14.18858357,1564,913,651,0.583759591,0.366963867,0.214218677,,,28.80478812,27.0292517,22.017832,12.8531206
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\334_natus-vincere-team-ldlc_de_inferno.player9.path11.csv,3172,20.74240039,20.47238417,1572,1244,328,0.791348601,0.495586381,0.392181589,,,39.51427273,38.99989185,29.73518285,23.53089533
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player1.path34.csv,1735,12.18698296,12.53875084,400,258,142,0.645,0.23054755,0.14870317,,,23.21620255,23.88632034,13.83285303,8.922190202
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player3.path20.csv,650,2.861494404,3.388448094,39,23,16,0.58974359,0.06,0.035384615,,,5.451146839,6.454993619,3.6,2.123076923
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player3.path39.csv,892,14.46068514,15.17151476,324,197,127,0.608024691,0.3632287,0.220852018,,,27.5476052,28.90173563,21.79372197,13.25112108
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R1_1406587232.player5.path14.csv,1328,12.40602811,14.8364018,332,262,70,0.789156627,0.25,0.197289157,,,23.63348355,28.26334544,15,11.8373494
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player4.path11.csv,1420,9.910348288,11.61369478,232,272,-40,1.172413793,0.163380282,0.191549296,,,18.87921349,22.12408856,9.802816901,11.49295775
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player4.path30.csv,1516,11.81755771,13.73192981,353,327,26,0.926345609,0.232849604,0.215699208,,,22.51244744,26.15932629,13.97097625,12.94195251
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player5.path22.csv,771,11.24051755,12.68586025,182,102,80,0.56043956,0.236057069,0.13229572,,,21.41318593,24.16656378,14.16342412,7.937743191
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player6.path4.csv,1238,10.27406637,11.86020772,259,171,88,0.66023166,0.209208401,0.13812601,,,19.57209643,22.5936957,12.55250404,8.287560582
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406586816.player7.path14.csv,1288,12.47046647,14.9412378,319,218,101,0.68338558,0.247670807,0.169254658,,,23.75623862,28.46305802,14.86024845,10.1552795
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player0.path30.csv,1390,11.88731286,13.19640186,271,210,61,0.774907749,0.194964029,0.151079137,,,22.64533099,25.13914554,11.69784173,9.064748201
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player5.path21.csv,617,10.33889653,12.76862327,122,89,33,0.729508197,0.197730956,0.144246353,,,19.69559789,24.32422733,11.86385737,8.654781199
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player5.path34.csv,1826,13.67442682,15.32999583,513,350,163,0.682261209,0.28094195,0.191675794,,,26.0497831,29.20364206,16.85651698,11.50054765
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player7.path28.csv,1309,11.11873154,13.34823494,237,166,71,0.700421941,0.18105424,0.126814362,,,21.18118359,25.42838756,10.86325439,7.608861727
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player8.path13.csv,1041,12.70948404,13.40549892,304,199,105,0.654605263,0.292026897,0.191162344,,,24.2115671,25.53747545,17.52161383,11.46974063
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\2799_R2_1406587141.player9.path20.csv,708,11.13994557,12.54858142,146,118,28,0.808219178,0.206214689,0.166666667,,,21.22159631,23.9050476,12.37288136,10
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_fnatic_Wizards.player0.path12.csv,1376,11.60329055,13.2143998,275,287,-12,1.043636364,0.199854651,0.208575581,,,22.1042685,25.17343162,11.99127907,12.51453488
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_fnatic_Wizards.player1.path12.csv,1284,12.93502238,15.01702243,334,246,88,0.736526946,0.260124611,0.191588785,,,24.64121764,28.60742773,15.60747664,11.4953271
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_fnatic_Wizards.player7.path14.csv,1376,13.06055189,13.92986811,327,213,114,0.651376147,0.237645349,0.154796512,,,24.88035136,26.53639875,14.25872093,9.287790698
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_fnatic_Wizards.player7.path19.csv,1868,11.26692642,12.90853917,374,259,115,0.692513369,0.200214133,0.138650964,,,21.46349483,24.59076713,12.01284797,8.319057816
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Ninjas in.player2.path32.csv,585,9.682632148,11.17157389,88,35,53,0.397727273,0.15042735,0.05982906,,,18.44541424,21.28184827,9.025641026,3.58974359
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Team LDLC.player0.path16.csv,520,10.668944,11.68159581,117,59,58,0.504273504,0.225,0.113461538,,,20.32433832,22.25344002,13.5,6.807692308
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Team LDLC.player4.path7.csv,966,11.66834774,13.23689408,196,143,53,0.729591837,0.202898551,0.148033126,,,22.22820244,25.21628322,12.17391304,8.881987578
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Team LDLC.player5.path10.csv,2459,9.033313521,10.53123779,359,291,68,0.810584958,0.145994307,0.118340789,,,17.20846226,20.06200798,8.759658398,7.100447336
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Team LDLC.player5.path13.csv,1194,13.43394438,16.98502979,297,341,-44,1.148148148,0.248743719,0.28559464,,,25.59166404,32.35648175,14.92462312,17.13567839
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Team LDLC.player8.path22.csv,723,11.69469042,14.09068445,173,130,43,0.751445087,0.239280775,0.179806362,,,22.27838525,26.84275387,14.35684647,10.78838174
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Virtus Pr.player1.path35.csv,1304,11.41696602,13.4978024,279,305,-26,1.093189964,0.213957055,0.233895706,,,21.74932026,25.71331358,12.83742331,14.03374233
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Virtus Pr.player2.path33.csv,1664,12.65649965,14.97902488,329,261,68,0.79331307,0.197716346,0.156850962,,,24.11063184,28.5350424,11.86298077,9.411057692
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Virtus Pr.player9.path7.csv,1934,12.65366475,14.0356801,492,290,202,0.589430894,0.254395036,0.149948294,,,24.10523136,26.73797058,15.26370217,8.996897622
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Virtus Pr.player9.path16.csv,1581,14.68266049,16.38806738,537,339,198,0.631284916,0.339658444,0.214421252,,,27.97046824,31.21926837,20.37950664,12.86527514
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team Dign_Virtus Pr.player9.path33.csv,1267,10.87448466,11.74728162,257,181,76,0.704280156,0.202841358,0.142857143,,,20.71589328,22.37857148,12.17048145,8.571428571
D:\Uni\DissertationData\RawPathFiles_MoreThanSixtyKB\3996_R1_Team LDLC_Virtus Pr.player1.path22.csv,1039,13.08554772,13.9633133,295,260,35,0.881355932,0.283926853,0.250240616,,,24.92796841,26.60011184,17.03561116,15.01443696
